
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 426853.12 um
Initial Temperature: 42685312.00
Cooling Rate (alpha): 0.998
Moves per Temperature: 7000
Final Temperature: 0.0001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=42685312.00 | W=501.8um | Current HPWL=1201075.37 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 953/7000 (13.6%) | Refine: 4893/4893 (100.0%) | Explore: 2107/2107 (100.0%)
T=41009954.35 | W=335.0um | Current HPWL=1976150.68 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1658/7000 (23.7%) | Refine: 102632/102632 (100.0%) | Explore: 44368/44368 (100.0%)
T=39400352.89 | W=223.7um | Current HPWL=2029237.58 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1663/7000 (23.8%) | Refine: 200792/200793 (100.0%) | Explore: 86207/86207 (100.0%)
T=37853926.75 | W=149.3um | Current HPWL=2094808.46 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1615/7000 (23.1%) | Refine: 298636/298637 (100.0%) | Explore: 128363/128363 (100.0%)
T=36368196.35 | W=100.4um | Current HPWL=2072145.91 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1637/7000 (23.4%) | Refine: 396871/396872 (100.0%) | Explore: 170128/170128 (100.0%)
T=34940779.45 | W=100.4um | Current HPWL=2078992.46 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1626/7000 (23.2%) | Refine: 495044/495045 (100.0%) | Explore: 211955/211955 (100.0%)
T=33569387.30 | W=100.4um | Current HPWL=2090931.86 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1619/7000 (23.1%) | Refine: 593248/593249 (100.0%) | Explore: 253751/253751 (100.0%)
T=32251820.97 | W=100.4um | Current HPWL=2117054.94 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1627/7000 (23.2%) | Refine: 691330/691331 (100.0%) | Explore: 295669/295669 (100.0%)
T=30985967.86 | W=100.4um | Current HPWL=2096654.67 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1652/7000 (23.6%) | Refine: 789299/789301 (100.0%) | Explore: 337699/337699 (100.0%)
T=29769798.28 | W=100.4um | Current HPWL=2103164.04 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1634/7000 (23.3%) | Refine: 887442/887444 (100.0%) | Explore: 379556/379556 (100.0%)
T=28601362.19 | W=100.4um | Current HPWL=2097362.98 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1644/7000 (23.5%) | Refine: 985610/985612 (100.0%) | Explore: 421388/421388 (100.0%)
