
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 426853.12 um
Initial Temperature: 42685312.00
Cooling Rate (alpha): 0.997
Moves per Temperature: 6500
Final Temperature: 0.0001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=42685312.00 | W=501.8um | Current HPWL=1173514.17 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 908/6500 (14.0%) | Refine: 4557/4557 (100.0%) | Explore: 1943/1943 (100.0%)
T=40195887.90 | W=335.0um | Current HPWL=1974807.85 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1459/6500 (22.4%) | Refine: 95583/95583 (100.0%) | Explore: 40917/40917 (100.0%)
T=37851647.99 | W=223.7um | Current HPWL=1998322.92 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1533/6500 (23.6%) | Refine: 186747/186747 (100.0%) | Explore: 79753/79753 (100.0%)
T=35644125.07 | W=149.3um | Current HPWL=2063390.01 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1522/6500 (23.4%) | Refine: 277738/277738 (100.0%) | Explore: 118762/118762 (100.0%)
T=33565345.75 | W=100.4um | Current HPWL=2056992.27 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1531/6500 (23.6%) | Refine: 369039/369039 (100.0%) | Explore: 157461/157461 (100.0%)
T=31607801.65 | W=100.4um | Current HPWL=2061758.85 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1569/6500 (24.1%) | Refine: 459980/459981 (100.0%) | Explore: 196519/196519 (100.0%)
T=29764422.29 | W=100.4um | Current HPWL=2086960.80 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1510/6500 (23.2%) | Refine: 551001/551003 (100.0%) | Explore: 235497/235497 (100.0%)
T=28028549.53 | W=100.4um | Current HPWL=2094964.33 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1503/6500 (23.1%) | Refine: 642031/642033 (100.0%) | Explore: 274467/274467 (100.0%)
T=26393913.56 | W=100.4um | Current HPWL=2090641.20 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1577/6500 (24.3%) | Refine: 732878/732880 (100.0%) | Explore: 313620/313620 (100.0%)
T=24854610.19 | W=100.4um | Current HPWL=2112426.15 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1490/6500 (22.9%) | Refine: 823790/823792 (100.0%) | Explore: 352708/352708 (100.0%)
T=23405079.60 | W=100.4um | Current HPWL=2108145.96 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1516/6500 (23.3%) | Refine: 914919/914921 (100.0%) | Explore: 391579/391579 (100.0%)
