
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 426853.12 um
Initial Temperature: 42685312.00
Cooling Rate (alpha): 0.999
Moves per Temperature: 8000
Final Temperature: 0.0001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

  → Found improvement! New best HPWL: 426644.90 um (improvement: -208.22 um)
T=42685312.00 | W=501.8um | Current HPWL=1254048.71 um | Best HPWL=426644.90 um | Accept Rate=100.0% | Improvements: 1116/8000 (14.0%) | Refine: 5551/5551 (100.0%) | Explore: 2449/2449 (100.0%)
T=41839667.51 | W=335.0um | Current HPWL=2000808.05 um | Best HPWL=426644.90 um | Accept Rate=100.0% | Improvements: 1923/8000 (24.0%) | Refine: 117746/117747 (100.0%) | Explore: 50253/50253 (100.0%)
T=41010776.21 | W=223.7um | Current HPWL=2018600.20 um | Best HPWL=426644.90 um | Accept Rate=100.0% | Improvements: 1895/8000 (23.7%) | Refine: 229581/229583 (100.0%) | Explore: 98417/98417 (100.0%)
T=40198306.17 | W=149.3um | Current HPWL=2063498.54 um | Best HPWL=426644.90 um | Accept Rate=100.0% | Improvements: 1882/8000 (23.5%) | Refine: 341759/341761 (100.0%) | Explore: 146239/146239 (100.0%)
T=39401932.10 | W=100.4um | Current HPWL=2086030.87 um | Best HPWL=426644.90 um | Accept Rate=100.0% | Improvements: 1907/8000 (23.8%) | Refine: 453648/453651 (100.0%) | Explore: 194349/194349 (100.0%)
T=38621335.09 | W=100.4um | Current HPWL=2086241.79 um | Best HPWL=426644.90 um | Accept Rate=100.0% | Improvements: 1859/8000 (23.2%) | Refine: 565472/565475 (100.0%) | Explore: 242525/242525 (100.0%)
T=37856202.60 | W=100.4um | Current HPWL=2091526.56 um | Best HPWL=426644.90 um | Accept Rate=100.0% | Improvements: 1858/8000 (23.2%) | Refine: 677402/677405 (100.0%) | Explore: 290595/290595 (100.0%)
T=37106228.26 | W=100.4um | Current HPWL=2107310.30 um | Best HPWL=426644.90 um | Accept Rate=100.0% | Improvements: 1849/8000 (23.1%) | Refine: 789491/789495 (100.0%) | Explore: 338505/338505 (100.0%)
T=36371111.75 | W=100.4um | Current HPWL=2097819.17 um | Best HPWL=426644.90 um | Accept Rate=100.0% | Improvements: 1876/8000 (23.4%) | Refine: 901457/901461 (100.0%) | Explore: 386539/386539 (100.0%)
T=35650558.74 | W=100.4um | Current HPWL=2081630.63 um | Best HPWL=426644.90 um | Accept Rate=100.0% | Improvements: 1901/8000 (23.8%) | Refine: 1013487/1013491 (100.0%) | Explore: 434509/434509 (100.0%)
T=34944280.70 | W=100.4um | Current HPWL=2102574.14 um | Best HPWL=426644.90 um | Accept Rate=100.0% | Improvements: 1927/8000 (24.1%) | Refine: 1125622/1125626 (100.0%) | Explore: 482374/482374 (100.0%)
