
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 426853.12 um
Initial Temperature: 42685312.00
Cooling Rate (alpha): 0.999
Moves per Temperature: 8000
Final Temperature: 0.0001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=42685312.00 | W=501.8um | Current HPWL=1267870.71 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1137/8000 (14.2%) | Refine: 5565/5565 (100.0%) | Explore: 2435/2435 (100.0%)
T=41839667.51 | W=335.0um | Current HPWL=2004470.62 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1838/8000 (23.0%) | Refine: 117698/117698 (100.0%) | Explore: 50302/50302 (100.0%)
T=41010776.21 | W=223.7um | Current HPWL=2004588.86 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1865/8000 (23.3%) | Refine: 229958/229959 (100.0%) | Explore: 98040/98041 (100.0%)
T=40198306.17 | W=149.3um | Current HPWL=2059858.79 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1844/8000 (23.1%) | Refine: 341931/341932 (100.0%) | Explore: 146066/146068 (100.0%)
T=39401932.10 | W=100.4um | Current HPWL=2088117.94 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1901/8000 (23.8%) | Refine: 454222/454223 (100.0%) | Explore: 193775/193777 (100.0%)
T=38621335.09 | W=100.4um | Current HPWL=2095549.23 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1836/8000 (22.9%) | Refine: 566382/566383 (100.0%) | Explore: 241615/241617 (100.0%)
T=37856202.60 | W=100.4um | Current HPWL=2105334.08 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1896/8000 (23.7%) | Refine: 678316/678317 (100.0%) | Explore: 289681/289683 (100.0%)
T=37106228.26 | W=100.4um | Current HPWL=2112969.76 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1833/8000 (22.9%) | Refine: 790093/790094 (100.0%) | Explore: 337904/337906 (100.0%)
T=36371111.75 | W=100.4um | Current HPWL=2138836.19 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1822/8000 (22.8%) | Refine: 902012/902013 (100.0%) | Explore: 385985/385987 (100.0%)
T=35650558.74 | W=100.4um | Current HPWL=2124560.66 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1853/8000 (23.2%) | Refine: 1014262/1014263 (100.0%) | Explore: 433735/433737 (100.0%)
T=34944280.70 | W=100.4um | Current HPWL=2128107.04 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1877/8000 (23.5%) | Refine: 1126448/1126450 (100.0%) | Explore: 481548/481550 (100.0%)
T=34251994.84 | W=100.4um | Current HPWL=2137235.69 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1743/8000 (21.8%) | Refine: 1238355/1238358 (100.0%) | Explore: 529640/529642 (100.0%)
T=33573423.94 | W=100.4um | Current HPWL=2139924.43 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1887/8000 (23.6%) | Refine: 1350471/1350474 (100.0%) | Explore: 577524/577526 (100.0%)
T=32908296.30 | W=100.4um | Current HPWL=2112121.99 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1873/8000 (23.4%) | Refine: 1462275/1462278 (100.0%) | Explore: 625720/625722 (100.0%)
T=32256345.59 | W=100.4um | Current HPWL=2144222.72 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1843/8000 (23.0%) | Refine: 1574505/1574508 (100.0%) | Explore: 673490/673492 (100.0%)
T=31617310.77 | W=100.4um | Current HPWL=2121915.85 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1874/8000 (23.4%) | Refine: 1686196/1686199 (100.0%) | Explore: 721799/721801 (100.0%)
T=30990935.95 | W=100.4um | Current HPWL=2113057.25 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1852/8000 (23.2%) | Refine: 1798430/1798433 (100.0%) | Explore: 769565/769567 (100.0%)
T=30376970.33 | W=100.4um | Current HPWL=2125531.69 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1867/8000 (23.3%) | Refine: 1910208/1910211 (100.0%) | Explore: 817787/817789 (100.0%)
T=29775168.06 | W=100.4um | Current HPWL=2120801.00 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1870/8000 (23.4%) | Refine: 2022376/2022381 (100.0%) | Explore: 865617/865619 (100.0%)
T=29185288.19 | W=100.4um | Current HPWL=2102743.51 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1891/8000 (23.6%) | Refine: 2134092/2134097 (100.0%) | Explore: 913901/913903 (100.0%)
T=28607094.50 | W=100.4um | Current HPWL=2099282.03 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1833/8000 (22.9%) | Refine: 2246136/2246141 (100.0%) | Explore: 961857/961859 (100.0%)
T=28040355.48 | W=100.4um | Current HPWL=2109507.13 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1860/8000 (23.2%) | Refine: 2358327/2358332 (100.0%) | Explore: 1009666/1009668 (100.0%)
T=27484844.21 | W=100.4um | Current HPWL=2097897.92 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1880/8000 (23.5%) | Refine: 2470528/2470533 (100.0%) | Explore: 1057465/1057467 (100.0%)
T=26940338.24 | W=100.4um | Current HPWL=2117930.21 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1866/8000 (23.3%) | Refine: 2582202/2582207 (100.0%) | Explore: 1105791/1105793 (100.0%)
T=26406619.56 | W=100.4um | Current HPWL=2147947.49 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1885/8000 (23.6%) | Refine: 2694340/2694345 (100.0%) | Explore: 1153653/1153655 (100.0%)
T=25883474.45 | W=100.4um | Current HPWL=2123571.92 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1770/8000 (22.1%) | Refine: 2806044/2806049 (100.0%) | Explore: 1201949/1201951 (100.0%)
T=25370693.44 | W=100.4um | Current HPWL=2125907.87 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1944/8000 (24.3%) | Refine: 2917922/2917927 (100.0%) | Explore: 1250071/1250073 (100.0%)
T=24868071.20 | W=100.4um | Current HPWL=2113918.55 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1878/8000 (23.5%) | Refine: 3029618/3029625 (100.0%) | Explore: 1298373/1298375 (100.0%)
T=24375406.48 | W=100.4um | Current HPWL=2098503.06 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1890/8000 (23.6%) | Refine: 3141625/3141632 (100.0%) | Explore: 1346366/1346368 (100.0%)
T=23892502.01 | W=100.4um | Current HPWL=2133215.81 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1851/8000 (23.1%) | Refine: 3253686/3253693 (100.0%) | Explore: 1394305/1394307 (100.0%)
T=23419164.42 | W=100.4um | Current HPWL=2139962.33 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1846/8000 (23.1%) | Refine: 3365615/3365623 (100.0%) | Explore: 1442375/1442377 (100.0%)
T=22955204.19 | W=100.4um | Current HPWL=2155736.66 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1829/8000 (22.9%) | Refine: 3477715/3477723 (100.0%) | Explore: 1490275/1490277 (100.0%)
T=22500435.54 | W=100.4um | Current HPWL=2136762.56 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1910/8000 (23.9%) | Refine: 3589374/3589382 (100.0%) | Explore: 1538616/1538618 (100.0%)
T=22054676.37 | W=100.4um | Current HPWL=2100632.42 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1855/8000 (23.2%) | Refine: 3701574/3701582 (100.0%) | Explore: 1586415/1586418 (100.0%)
T=21617748.19 | W=100.4um | Current HPWL=2102593.02 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1826/8000 (22.8%) | Refine: 3813966/3813974 (100.0%) | Explore: 1634023/1634026 (100.0%)
