
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 426853.12 um
Initial Temperature: 42685312.00
Cooling Rate (alpha): 0.999
Moves per Temperature: 8000
Final Temperature: 0.0001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=42685312.00 | W=501.8um | Current HPWL=1258179.49 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1094/8000 (13.7%) | Refine: 5558/5558 (100.0%) | Explore: 2442/2442 (100.0%)
T=41839667.51 | W=335.0um | Current HPWL=1968600.13 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1913/8000 (23.9%) | Refine: 117321/117321 (100.0%) | Explore: 50678/50679 (100.0%)
T=41010776.21 | W=223.7um | Current HPWL=2025558.64 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1873/8000 (23.4%) | Refine: 229624/229624 (100.0%) | Explore: 98375/98376 (100.0%)
T=40198306.17 | W=149.3um | Current HPWL=2057011.58 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1846/8000 (23.1%) | Refine: 341468/341470 (100.0%) | Explore: 146529/146530 (100.0%)
T=39401932.10 | W=100.4um | Current HPWL=2086384.35 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1876/8000 (23.4%) | Refine: 453293/453295 (100.0%) | Explore: 194704/194705 (100.0%)
T=38621335.09 | W=100.4um | Current HPWL=2090598.76 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1881/8000 (23.5%) | Refine: 565138/565140 (100.0%) | Explore: 242859/242860 (100.0%)
T=37856202.60 | W=100.4um | Current HPWL=2116432.01 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1858/8000 (23.2%) | Refine: 677036/677038 (100.0%) | Explore: 290961/290962 (100.0%)
T=37106228.26 | W=100.4um | Current HPWL=2115318.06 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1866/8000 (23.3%) | Refine: 789282/789285 (100.0%) | Explore: 338714/338715 (100.0%)
T=36371111.75 | W=100.4um | Current HPWL=2111627.21 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1894/8000 (23.7%) | Refine: 901113/901117 (100.0%) | Explore: 386882/386883 (100.0%)
T=35650558.74 | W=100.4um | Current HPWL=2127946.01 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1891/8000 (23.6%) | Refine: 1013147/1013152 (100.0%) | Explore: 434847/434848 (100.0%)
T=34944280.70 | W=100.4um | Current HPWL=2112785.42 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1925/8000 (24.1%) | Refine: 1125193/1125200 (100.0%) | Explore: 482799/482800 (100.0%)
T=34251994.84 | W=100.4um | Current HPWL=2125621.14 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1883/8000 (23.5%) | Refine: 1237054/1237061 (100.0%) | Explore: 530938/530939 (100.0%)
T=33573423.94 | W=100.4um | Current HPWL=2093598.56 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1915/8000 (23.9%) | Refine: 1349404/1349411 (100.0%) | Explore: 578588/578589 (100.0%)
T=32908296.30 | W=100.4um | Current HPWL=2126435.71 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1868/8000 (23.4%) | Refine: 1461459/1461466 (100.0%) | Explore: 626533/626534 (100.0%)
T=32256345.59 | W=100.4um | Current HPWL=2104843.46 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1896/8000 (23.7%) | Refine: 1573428/1573435 (100.0%) | Explore: 674564/674565 (100.0%)
T=31617310.77 | W=100.4um | Current HPWL=2103140.94 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1920/8000 (24.0%) | Refine: 1685298/1685306 (100.0%) | Explore: 722693/722694 (100.0%)
T=30990935.95 | W=100.4um | Current HPWL=2105936.45 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1907/8000 (23.8%) | Refine: 1797103/1797113 (100.0%) | Explore: 770886/770887 (100.0%)
T=30376970.33 | W=100.4um | Current HPWL=2108973.66 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1857/8000 (23.2%) | Refine: 1909363/1909374 (100.0%) | Explore: 818625/818626 (100.0%)
T=29775168.06 | W=100.4um | Current HPWL=2110947.06 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1940/8000 (24.2%) | Refine: 2021297/2021308 (100.0%) | Explore: 866691/866692 (100.0%)
T=29185288.19 | W=100.4um | Current HPWL=2140341.26 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1826/8000 (22.8%) | Refine: 2133201/2133212 (100.0%) | Explore: 914787/914788 (100.0%)
