
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 426853.12 um
Initial Temperature: 42685312.00
Cooling Rate (alpha): 0.995
Moves per Temperature: 5500
Final Temperature: 0.00015
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=42685312.00 | W=501.8um | Current HPWL=1143655.92 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 654/5500 (11.9%) | Refine: 3868/3868 (100.0%) | Explore: 1632/1632 (100.0%)
T=38613580.59 | W=335.0um | Current HPWL=1948751.23 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1283/5500 (23.3%) | Refine: 80734/80734 (100.0%) | Explore: 34766/34766 (100.0%)
T=34930249.68 | W=223.7um | Current HPWL=1991402.43 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1326/5500 (24.1%) | Refine: 157861/157861 (100.0%) | Explore: 67639/67639 (100.0%)
T=31598269.94 | W=149.3um | Current HPWL=2059070.38 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1232/5500 (22.4%) | Refine: 234680/234680 (100.0%) | Explore: 100820/100820 (100.0%)
T=28584126.15 | W=100.4um | Current HPWL=2037020.16 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1272/5500 (23.1%) | Refine: 311813/311814 (100.0%) | Explore: 133685/133686 (100.0%)
T=25857500.08 | W=100.4um | Current HPWL=2059625.91 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1290/5500 (23.5%) | Refine: 388795/388796 (100.0%) | Explore: 166703/166704 (100.0%)
T=23390965.57 | W=100.4um | Current HPWL=2066174.64 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1264/5500 (23.0%) | Refine: 465811/465812 (100.0%) | Explore: 199687/199688 (100.0%)
T=21159712.60 | W=100.4um | Current HPWL=2075999.57 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1291/5500 (23.5%) | Refine: 542748/542750 (100.0%) | Explore: 232749/232750 (100.0%)
T=19141297.77 | W=100.4um | Current HPWL=2072864.13 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1305/5500 (23.7%) | Refine: 620071/620073 (100.0%) | Explore: 265426/265427 (100.0%)
T=17315418.57 | W=100.4um | Current HPWL=2068355.16 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1286/5500 (23.4%) | Refine: 697204/697206 (100.0%) | Explore: 298293/298294 (100.0%)
T=15663709.11 | W=100.4um | Current HPWL=2096570.19 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1290/5500 (23.5%) | Refine: 774207/774209 (100.0%) | Explore: 331290/331291 (100.0%)
