# Log file for: designs/6502_mapped.json
# Configuration: {'alpha': 0.99, 'moves': 600, 't_final': 0.01, '_use_greedy_placement': True, '_greedy_placement': 'build/6502/greedy/6502_placement.json'}
# Start time: 2025-11-23T09:53:43.380580
# Command: /home/mohab/Downloads/work/venv/bin/python placer.py --design designs/6502_mapped.json --fabric-cells fabric/fabric_cells.yaml --pins fabric/pins.yaml --output build/6502/sa_alpha0.99_moves600_Tfinal0.01 --sa-alpha 0.99 --sa-moves 600 --sa-T-final 0.01 --initial-placement build/6502/greedy/6502_placement.json --seed 1848053729
================================================================================

Random seed set to: 1848053729
Loading initial placement from: build/6502/greedy/6502_placement.json

============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 431210.20 um
Initial Temperature: 4312102000.00
Cooling Rate (alpha): 0.99
Moves per Temperature: 600
Final Temperature: 0.01
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=4312102000.00 | W=501.8um | Current HPWL=582481.63 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 26/600 (4.3%) | Refine: 423/423 (100.0%) | Explore: 177/177 (100.0%)
T=3899787754.41 | W=410.0um | Current HPWL=1138006.13 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 117/600 (19.5%) | Refine: 4664/4664 (100.0%) | Explore: 1936/1936 (100.0%)
T=3526898141.43 | W=335.0um | Current HPWL=1295850.49 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 122/600 (20.3%) | Refine: 8882/8882 (100.0%) | Explore: 3718/3718 (100.0%)
T=3189663459.49 | W=273.7um | Current HPWL=1375250.26 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 145/600 (24.2%) | Refine: 13113/13113 (100.0%) | Explore: 5487/5487 (100.0%)
T=2884674458.07 | W=223.7um | Current HPWL=1398485.21 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 138/600 (23.0%) | Refine: 17311/17311 (100.0%) | Explore: 7289/7289 (100.0%)
T=2608847872.12 | W=182.7um | Current HPWL=1428708.80 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 121/600 (20.2%) | Refine: 21613/21613 (100.0%) | Explore: 8987/8987 (100.0%)
T=2359395251.97 | W=149.3um | Current HPWL=1443374.47 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 144/600 (24.0%) | Refine: 25798/25798 (100.0%) | Explore: 10802/10802 (100.0%)
T=2133794773.74 | W=122.0um | Current HPWL=1457820.01 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 136/600 (22.7%) | Refine: 29961/29961 (100.0%) | Explore: 12639/12639 (100.0%)
T=1929765745.12 | W=100.4um | Current HPWL=1469937.38 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 117/600 (19.5%) | Refine: 34161/34161 (100.0%) | Explore: 14439/14439 (100.0%)
T=1745245548.85 | W=100.4um | Current HPWL=1468549.43 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 132/600 (22.0%) | Refine: 38410/38410 (100.0%) | Explore: 16190/16190 (100.0%)
T=1578368790.87 | W=100.4um | Current HPWL=1475107.45 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 128/600 (21.3%) | Refine: 42644/42644 (100.0%) | Explore: 17956/17956 (100.0%)
