# Log file for: designs/6502_mapped.json
# Configuration: {'alpha': 0.99, 'moves': 1000, 't_final': 0.001, '_use_greedy_placement': True, '_greedy_placement': 'build/6502/greedy/6502_placement.json'}
# Start time: 2025-11-23T10:07:57.121144
# Command: /home/mohab/Downloads/work/venv/bin/python placer.py --design designs/6502_mapped.json --fabric-cells fabric/fabric_cells.yaml --pins fabric/pins.yaml --output build/6502/sa_alpha0.99_moves1000_Tfinal0.001 --sa-alpha 0.99 --sa-moves 1000 --sa-T-final 0.001 --initial-placement build/6502/greedy/6502_placement.json --seed 1323208432
================================================================================

Random seed set to: 1323208432
Loading initial placement from: build/6502/greedy/6502_placement.json

============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 431210.20 um
Initial Temperature: 4312102000.00
Cooling Rate (alpha): 0.99
Moves per Temperature: 1000
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=4312102000.00 | W=501.8um | Current HPWL=664123.14 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 46/1000 (4.6%) | Refine: 703/703 (100.0%) | Explore: 297/297 (100.0%)
T=3899787754.41 | W=410.0um | Current HPWL=1286147.21 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 226/1000 (22.6%) | Refine: 7679/7679 (100.0%) | Explore: 3321/3321 (100.0%)
T=3526898141.43 | W=335.0um | Current HPWL=1416661.93 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 215/1000 (21.5%) | Refine: 14722/14722 (100.0%) | Explore: 6278/6278 (100.0%)
T=3189663459.49 | W=273.7um | Current HPWL=1514450.32 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 210/1000 (21.0%) | Refine: 21755/21755 (100.0%) | Explore: 9245/9245 (100.0%)
T=2884674458.07 | W=223.7um | Current HPWL=1576977.44 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 236/1000 (23.6%) | Refine: 28775/28775 (100.0%) | Explore: 12225/12225 (100.0%)
T=2608847872.12 | W=182.7um | Current HPWL=1574843.43 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 243/1000 (24.3%) | Refine: 35737/35737 (100.0%) | Explore: 15263/15263 (100.0%)
T=2359395251.97 | W=149.3um | Current HPWL=1595389.07 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 256/1000 (25.6%) | Refine: 42770/42770 (100.0%) | Explore: 18230/18230 (100.0%)
T=2133794773.74 | W=122.0um | Current HPWL=1599395.93 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 215/1000 (21.5%) | Refine: 49724/49724 (100.0%) | Explore: 21276/21276 (100.0%)
T=1929765745.12 | W=100.4um | Current HPWL=1597395.06 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 229/1000 (22.9%) | Refine: 56792/56792 (100.0%) | Explore: 24208/24208 (100.0%)
T=1745245548.85 | W=100.4um | Current HPWL=1624865.24 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 231/1000 (23.1%) | Refine: 63779/63779 (100.0%) | Explore: 27221/27221 (100.0%)
T=1578368790.87 | W=100.4um | Current HPWL=1635338.31 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 224/1000 (22.4%) | Refine: 70767/70767 (100.0%) | Explore: 30233/30233 (100.0%)
T=1427448442.22 | W=100.4um | Current HPWL=1630138.28 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 245/1000 (24.5%) | Refine: 77675/77675 (100.0%) | Explore: 33325/33325 (100.0%)
T=1290958784.14 | W=100.4um | Current HPWL=1631881.99 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 235/1000 (23.5%) | Refine: 84757/84757 (100.0%) | Explore: 36243/36243 (100.0%)
T=1167519983.95 | W=100.4um | Current HPWL=1650683.19 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 222/1000 (22.2%) | Refine: 91779/91779 (100.0%) | Explore: 39221/39221 (100.0%)
T=1055884145.70 | W=100.4um | Current HPWL=1656745.52 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 204/1000 (20.4%) | Refine: 98790/98790 (100.0%) | Explore: 42210/42210 (100.0%)
T=954922694.66 | W=100.4um | Current HPWL=1695269.74 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 236/1000 (23.6%) | Refine: 105806/105806 (100.0%) | Explore: 45194/45194 (100.0%)
T=863614968.07 | W=100.4um | Current HPWL=1667283.68 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 224/1000 (22.4%) | Refine: 112750/112750 (100.0%) | Explore: 48250/48250 (100.0%)
T=781037896.83 | W=100.4um | Current HPWL=1676937.23 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 226/1000 (22.6%) | Refine: 119701/119701 (100.0%) | Explore: 51299/51299 (100.0%)
T=706356673.79 | W=100.4um | Current HPWL=1685954.47 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 245/1000 (24.5%) | Refine: 126692/126692 (100.0%) | Explore: 54308/54308 (100.0%)
T=638816314.34 | W=100.4um | Current HPWL=1705820.76 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 230/1000 (23.0%) | Refine: 133651/133651 (100.0%) | Explore: 57349/57349 (100.0%)
T=577734023.91 | W=100.4um | Current HPWL=1698249.47 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 241/1000 (24.1%) | Refine: 140685/140685 (100.0%) | Explore: 60315/60315 (100.0%)
T=522492295.35 | W=100.4um | Current HPWL=1683513.49 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 238/1000 (23.8%) | Refine: 147664/147664 (100.0%) | Explore: 63336/63336 (100.0%)
T=472532666.25 | W=100.4um | Current HPWL=1692602.67 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 228/1000 (22.8%) | Refine: 154700/154700 (100.0%) | Explore: 66300/66300 (100.0%)
T=427350073.21 | W=100.4um | Current HPWL=1735067.02 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 245/1000 (24.5%) | Refine: 161716/161716 (100.0%) | Explore: 69284/69284 (100.0%)
T=386487745.96 | W=100.4um | Current HPWL=1715159.75 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 226/1000 (22.6%) | Refine: 168732/168732 (100.0%) | Explore: 72268/72268 (100.0%)
T=349532589.66 | W=100.4um | Current HPWL=1723754.61 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 227/1000 (22.7%) | Refine: 175652/175652 (100.0%) | Explore: 75348/75348 (100.0%)
T=316111008.72 | W=100.4um | Current HPWL=1716029.02 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 218/1000 (21.8%) | Refine: 182694/182694 (100.0%) | Explore: 78306/78306 (100.0%)
T=285885130.00 | W=100.4um | Current HPWL=1702986.58 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 254/1000 (25.4%) | Refine: 189650/189650 (100.0%) | Explore: 81350/81350 (100.0%)
T=258549387.08 | W=100.4um | Current HPWL=1731754.88 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 239/1000 (23.9%) | Refine: 196609/196609 (100.0%) | Explore: 84391/84391 (100.0%)
T=233827431.18 | W=100.4um | Current HPWL=1751052.42 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 231/1000 (23.1%) | Refine: 203630/203630 (100.0%) | Explore: 87370/87370 (100.0%)
T=211469337.41 | W=100.4um | Current HPWL=1748326.39 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 238/1000 (23.8%) | Refine: 210598/210598 (100.0%) | Explore: 90402/90402 (100.0%)
T=191249078.16 | W=100.4um | Current HPWL=1752279.34 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 226/1000 (22.6%) | Refine: 217556/217556 (100.0%) | Explore: 93444/93444 (100.0%)
T=172962238.15 | W=100.4um | Current HPWL=1758861.46 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 216/1000 (21.6%) | Refine: 224499/224499 (100.0%) | Explore: 96501/96501 (100.0%)
T=156423947.84 | W=100.4um | Current HPWL=1764174.91 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 208/1000 (20.8%) | Refine: 231582/231582 (100.0%) | Explore: 99418/99418 (100.0%)
T=141467014.53 | W=100.4um | Current HPWL=1778229.37 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 223/1000 (22.3%) | Refine: 238563/238563 (100.0%) | Explore: 102437/102437 (100.0%)
T=127940232.14 | W=100.4um | Current HPWL=1770990.11 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 243/1000 (24.3%) | Refine: 245621/245621 (100.0%) | Explore: 105379/105379 (100.0%)
T=115706852.62 | W=100.4um | Current HPWL=1780816.69 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 253/1000 (25.3%) | Refine: 252658/252658 (100.0%) | Explore: 108342/108342 (100.0%)
T=104643203.47 | W=100.4um | Current HPWL=1805019.60 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 227/1000 (22.7%) | Refine: 259621/259621 (100.0%) | Explore: 111379/111379 (100.0%)
T=94637437.49 | W=100.4um | Current HPWL=1770087.24 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 223/1000 (22.3%) | Refine: 266580/266580 (100.0%) | Explore: 114420/114420 (100.0%)
