# Log file for: designs/6502_mapped.json
# Configuration: {'alpha': 0.97, 'moves': 700, 't_final': 0.001, '_use_greedy_placement': True, '_greedy_placement': 'build/6502/greedy/6502_placement.json'}
# Start time: 2025-11-23T09:17:36.037385
# Command: /home/mohab/Downloads/work/venv/bin/python placer.py --design designs/6502_mapped.json --fabric-cells fabric/fabric_cells.yaml --pins fabric/pins.yaml --output build/6502/sa_alpha0.97_moves700_Tfinal0.001 --sa-alpha 0.97 --sa-moves 700 --sa-T-final 0.001 --initial-placement build/6502/greedy/6502_placement.json --seed 1261292054
================================================================================

Random seed set to: 1261292054
Loading initial placement from: build/6502/greedy/6502_placement.json

============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 431210.20 um
Initial Temperature: 4312102000.00
Cooling Rate (alpha): 0.97
Moves per Temperature: 700
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=4312102000.00 | W=501.8um | Current HPWL=614925.06 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 35/700 (5.0%) | Refine: 508/508 (100.0%) | Explore: 192/192 (100.0%)
T=3179848052.43 | W=410.0um | Current HPWL=1187650.36 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 127/700 (18.1%) | Refine: 5395/5395 (100.0%) | Explore: 2305/2305 (100.0%)
T=2344896673.72 | W=335.0um | Current HPWL=1360457.13 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 143/700 (20.4%) | Refine: 10243/10243 (100.0%) | Explore: 4457/4457 (100.0%)
T=1729183382.28 | W=273.7um | Current HPWL=1423302.11 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 160/700 (22.9%) | Refine: 15080/15080 (100.0%) | Explore: 6620/6620 (100.0%)
T=1275141545.92 | W=223.7um | Current HPWL=1464466.83 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 151/700 (21.6%) | Refine: 19970/19970 (100.0%) | Explore: 8730/8730 (100.0%)
T=940320141.17 | W=182.7um | Current HPWL=1485871.57 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 153/700 (21.9%) | Refine: 24944/24944 (100.0%) | Explore: 10756/10756 (100.0%)
T=693414759.10 | W=149.3um | Current HPWL=1516660.24 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 183/700 (26.1%) | Refine: 29828/29828 (100.0%) | Explore: 12872/12872 (100.0%)
T=511340773.31 | W=122.0um | Current HPWL=1509246.51 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 172/700 (24.6%) | Refine: 34727/34727 (100.0%) | Explore: 14973/14973 (100.0%)
T=377075023.30 | W=100.4um | Current HPWL=1517838.12 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 161/700 (23.0%) | Refine: 39636/39636 (100.0%) | Explore: 17064/17064 (100.0%)
T=278064219.83 | W=100.4um | Current HPWL=1517242.27 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 159/700 (22.7%) | Refine: 44515/44515 (100.0%) | Explore: 19185/19185 (100.0%)
T=205051264.53 | W=100.4um | Current HPWL=1537030.36 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 142/700 (20.3%) | Refine: 49462/49462 (100.0%) | Explore: 21238/21238 (100.0%)
T=151209749.71 | W=100.4um | Current HPWL=1528718.52 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 175/700 (25.0%) | Refine: 54303/54303 (100.0%) | Explore: 23397/23397 (100.0%)
T=111505717.66 | W=100.4um | Current HPWL=1549375.19 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 160/700 (22.9%) | Refine: 59204/59204 (100.0%) | Explore: 25496/25496 (100.0%)
T=82227006.49 | W=100.4um | Current HPWL=1550146.57 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 171/700 (24.4%) | Refine: 64094/64094 (100.0%) | Explore: 27606/27606 (100.0%)
T=60636178.47 | W=100.4um | Current HPWL=1544991.50 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 168/700 (24.0%) | Refine: 68970/68970 (100.0%) | Explore: 29730/29730 (100.0%)
T=44714580.97 | W=100.4um | Current HPWL=1557831.33 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 156/700 (22.3%) | Refine: 73855/73855 (100.0%) | Explore: 31845/31845 (100.0%)
T=32973610.83 | W=100.4um | Current HPWL=1569627.17 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 164/700 (23.4%) | Refine: 78722/78722 (100.0%) | Explore: 33978/33978 (100.0%)
T=24315536.18 | W=100.4um | Current HPWL=1566351.18 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 179/700 (25.6%) | Refine: 83613/83613 (100.0%) | Explore: 36087/36087 (100.0%)
T=17930863.03 | W=100.4um | Current HPWL=1571673.81 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 161/700 (23.0%) | Refine: 88506/88506 (100.0%) | Explore: 38194/38194 (100.0%)
T=13222651.02 | W=100.4um | Current HPWL=1577973.08 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 174/700 (24.9%) | Refine: 93426/93426 (100.0%) | Explore: 40274/40274 (100.0%)
T=9750701.88 | W=100.4um | Current HPWL=1599338.07 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 151/700 (21.6%) | Refine: 98305/98305 (100.0%) | Explore: 42395/42395 (100.0%)
T=7190402.82 | W=100.4um | Current HPWL=1605790.36 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 173/700 (24.7%) | Refine: 103175/103175 (100.0%) | Explore: 44525/44525 (100.0%)
T=5302376.52 | W=100.4um | Current HPWL=1605641.65 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 168/700 (24.0%) | Refine: 108108/108108 (100.0%) | Explore: 46592/46592 (100.0%)
T=3910100.38 | W=100.4um | Current HPWL=1611859.25 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 141/700 (20.1%) | Refine: 113016/113016 (100.0%) | Explore: 48684/48684 (100.0%)
T=2883402.36 | W=100.4um | Current HPWL=1600220.48 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 167/700 (23.9%) | Refine: 117924/117924 (100.0%) | Explore: 50776/50776 (100.0%)
T=2126290.47 | W=100.4um | Current HPWL=1625846.97 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 157/700 (22.4%) | Refine: 122784/122784 (100.0%) | Explore: 52916/52916 (100.0%)
T=1567977.89 | W=100.4um | Current HPWL=1620458.94 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 154/700 (22.0%) | Refine: 127697/127697 (100.0%) | Explore: 55003/55003 (100.0%)
T=1156264.73 | W=100.4um | Current HPWL=1611935.44 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 183/700 (26.1%) | Refine: 132532/132532 (100.0%) | Explore: 57168/57168 (100.0%)
T=852657.51 | W=100.4um | Current HPWL=1622929.05 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 137/700 (19.6%) | Refine: 137427/137427 (100.0%) | Explore: 59273/59273 (100.0%)
T=628770.22 | W=100.4um | Current HPWL=1630659.54 um | Best HPWL=431210.20 um | Accept Rate=99.9% | Improvements: 154/700 (22.0%) | Refine: 142326/142327 (100.0%) | Explore: 61373/61373 (100.0%)
T=463670.33 | W=100.4um | Current HPWL=1626532.60 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 176/700 (25.1%) | Refine: 147173/147175 (100.0%) | Explore: 63525/63525 (100.0%)
T=341921.69 | W=100.4um | Current HPWL=1644007.49 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 149/700 (21.3%) | Refine: 152066/152070 (100.0%) | Explore: 65630/65630 (100.0%)
T=252141.30 | W=100.4um | Current HPWL=1641613.50 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 137/700 (19.6%) | Refine: 156926/156930 (100.0%) | Explore: 67770/67770 (100.0%)
T=185935.08 | W=100.4um | Current HPWL=1628730.03 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 187/700 (26.7%) | Refine: 161853/161861 (100.0%) | Explore: 69839/69839 (100.0%)
T=137113.01 | W=100.4um | Current HPWL=1650581.68 um | Best HPWL=431210.20 um | Accept Rate=99.9% | Improvements: 169/700 (24.1%) | Refine: 166786/166798 (100.0%) | Explore: 71901/71902 (100.0%)
T=101110.44 | W=100.4um | Current HPWL=1637207.37 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 161/700 (23.0%) | Refine: 171660/171674 (100.0%) | Explore: 74024/74026 (100.0%)
T=74561.28 | W=100.4um | Current HPWL=1629410.06 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 150/700 (21.4%) | Refine: 176548/176567 (100.0%) | Explore: 76130/76133 (100.0%)
T=54983.29 | W=100.4um | Current HPWL=1634741.13 um | Best HPWL=431210.20 um | Accept Rate=99.9% | Improvements: 177/700 (25.3%) | Refine: 181406/181431 (100.0%) | Explore: 78265/78269 (100.0%)
T=40546.00 | W=100.4um | Current HPWL=1625220.70 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 175/700 (25.0%) | Refine: 186292/186319 (100.0%) | Explore: 80376/80381 (100.0%)
T=29899.60 | W=100.4um | Current HPWL=1636651.19 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 164/700 (23.4%) | Refine: 191083/191117 (100.0%) | Explore: 82576/82583 (100.0%)
T=22048.69 | W=100.4um | Current HPWL=1656602.16 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 154/700 (22.0%) | Refine: 195880/195922 (100.0%) | Explore: 84769/84778 (100.0%)
T=16259.23 | W=100.4um | Current HPWL=1668188.65 um | Best HPWL=431210.20 um | Accept Rate=99.4% | Improvements: 153/700 (21.9%) | Refine: 200792/200855 (100.0%) | Explore: 86831/86845 (100.0%)
T=11989.95 | W=100.4um | Current HPWL=1646286.94 um | Best HPWL=431210.20 um | Accept Rate=99.6% | Improvements: 177/700 (25.3%) | Refine: 205668/205755 (100.0%) | Explore: 88925/88945 (100.0%)
