# Log file for: designs/6502_mapped.json
# Configuration: {'alpha': 0.99, 'moves': 500, 't_final': 0.001, '_use_greedy_placement': True, '_greedy_placement': 'build/6502/greedy/6502_placement.json'}
# Start time: 2025-11-23T09:44:12.466540
# Command: /home/mohab/Downloads/work/venv/bin/python placer.py --design designs/6502_mapped.json --fabric-cells fabric/fabric_cells.yaml --pins fabric/pins.yaml --output build/6502/sa_alpha0.99_moves500_Tfinal0.001 --sa-alpha 0.99 --sa-moves 500 --sa-T-final 0.001 --initial-placement build/6502/greedy/6502_placement.json --seed 1154857426
================================================================================

Random seed set to: 1154857426
Loading initial placement from: build/6502/greedy/6502_placement.json

============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 431210.20 um
Initial Temperature: 4312102000.00
Cooling Rate (alpha): 0.99
Moves per Temperature: 500
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=4312102000.00 | W=501.8um | Current HPWL=554239.79 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 21/500 (4.2%) | Refine: 372/372 (100.0%) | Explore: 128/128 (100.0%)
T=3899787754.41 | W=410.0um | Current HPWL=1106896.10 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 85/500 (17.0%) | Refine: 3925/3925 (100.0%) | Explore: 1575/1575 (100.0%)
T=3526898141.43 | W=335.0um | Current HPWL=1254234.04 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 91/500 (18.2%) | Refine: 7446/7446 (100.0%) | Explore: 3054/3054 (100.0%)
T=3189663459.49 | W=273.7um | Current HPWL=1326615.13 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 114/500 (22.8%) | Refine: 10935/10935 (100.0%) | Explore: 4565/4565 (100.0%)
T=2884674458.07 | W=223.7um | Current HPWL=1370276.96 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 108/500 (21.6%) | Refine: 14352/14352 (100.0%) | Explore: 6148/6148 (100.0%)
T=2608847872.12 | W=182.7um | Current HPWL=1397941.64 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 122/500 (24.4%) | Refine: 17848/17848 (100.0%) | Explore: 7652/7652 (100.0%)
T=2359395251.97 | W=149.3um | Current HPWL=1412352.70 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 98/500 (19.6%) | Refine: 21372/21372 (100.0%) | Explore: 9128/9128 (100.0%)
T=2133794773.74 | W=122.0um | Current HPWL=1407829.26 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 112/500 (22.4%) | Refine: 24864/24864 (100.0%) | Explore: 10636/10636 (100.0%)
T=1929765745.12 | W=100.4um | Current HPWL=1414335.75 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 121/500 (24.2%) | Refine: 28316/28316 (100.0%) | Explore: 12184/12184 (100.0%)
T=1745245548.85 | W=100.4um | Current HPWL=1435185.96 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 131/500 (26.2%) | Refine: 31821/31821 (100.0%) | Explore: 13679/13679 (100.0%)
T=1578368790.87 | W=100.4um | Current HPWL=1435553.96 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 108/500 (21.6%) | Refine: 35376/35376 (100.0%) | Explore: 15124/15124 (100.0%)
T=1427448442.22 | W=100.4um | Current HPWL=1440317.17 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 116/500 (23.2%) | Refine: 38884/38884 (100.0%) | Explore: 16616/16616 (100.0%)
T=1290958784.14 | W=100.4um | Current HPWL=1444310.28 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 123/500 (24.6%) | Refine: 42293/42293 (100.0%) | Explore: 18207/18207 (100.0%)
T=1167519983.95 | W=100.4um | Current HPWL=1470280.97 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 115/500 (23.0%) | Refine: 45797/45797 (100.0%) | Explore: 19703/19703 (100.0%)
T=1055884145.70 | W=100.4um | Current HPWL=1457975.96 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 101/500 (20.2%) | Refine: 49297/49297 (100.0%) | Explore: 21203/21203 (100.0%)
T=954922694.66 | W=100.4um | Current HPWL=1454828.76 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 122/500 (24.4%) | Refine: 52789/52789 (100.0%) | Explore: 22711/22711 (100.0%)
T=863614968.07 | W=100.4um | Current HPWL=1450931.88 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 134/500 (26.8%) | Refine: 56313/56313 (100.0%) | Explore: 24187/24187 (100.0%)
T=781037896.83 | W=100.4um | Current HPWL=1454272.69 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 102/500 (20.4%) | Refine: 59816/59816 (100.0%) | Explore: 25684/25684 (100.0%)
T=706356673.79 | W=100.4um | Current HPWL=1455667.16 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 118/500 (23.6%) | Refine: 63302/63302 (100.0%) | Explore: 27198/27198 (100.0%)
T=638816314.34 | W=100.4um | Current HPWL=1467238.98 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 98/500 (19.6%) | Refine: 66771/66771 (100.0%) | Explore: 28729/28729 (100.0%)
T=577734023.91 | W=100.4um | Current HPWL=1481227.18 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 125/500 (25.0%) | Refine: 70250/70250 (100.0%) | Explore: 30250/30250 (100.0%)
T=522492295.35 | W=100.4um | Current HPWL=1465254.40 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 104/500 (20.8%) | Refine: 73746/73746 (100.0%) | Explore: 31754/31754 (100.0%)
T=472532666.25 | W=100.4um | Current HPWL=1476864.57 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 113/500 (22.6%) | Refine: 77217/77217 (100.0%) | Explore: 33283/33283 (100.0%)
T=427350073.21 | W=100.4um | Current HPWL=1472157.95 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 123/500 (24.6%) | Refine: 80698/80698 (100.0%) | Explore: 34802/34802 (100.0%)
T=386487745.96 | W=100.4um | Current HPWL=1490901.55 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 115/500 (23.0%) | Refine: 84202/84202 (100.0%) | Explore: 36298/36298 (100.0%)
T=349532589.66 | W=100.4um | Current HPWL=1517702.72 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 101/500 (20.2%) | Refine: 87677/87677 (100.0%) | Explore: 37823/37823 (100.0%)
T=316111008.72 | W=100.4um | Current HPWL=1503385.64 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 115/500 (23.0%) | Refine: 91150/91150 (100.0%) | Explore: 39350/39350 (100.0%)
T=285885130.00 | W=100.4um | Current HPWL=1516409.28 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 119/500 (23.8%) | Refine: 94595/94595 (100.0%) | Explore: 40905/40905 (100.0%)
T=258549387.08 | W=100.4um | Current HPWL=1500764.70 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 109/500 (21.8%) | Refine: 98033/98033 (100.0%) | Explore: 42467/42467 (100.0%)
T=233827431.18 | W=100.4um | Current HPWL=1512417.48 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 122/500 (24.4%) | Refine: 101524/101524 (100.0%) | Explore: 43976/43976 (100.0%)
T=211469337.41 | W=100.4um | Current HPWL=1536553.12 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 118/500 (23.6%) | Refine: 105010/105010 (100.0%) | Explore: 45490/45490 (100.0%)
T=191249078.16 | W=100.4um | Current HPWL=1526821.35 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 121/500 (24.2%) | Refine: 108526/108526 (100.0%) | Explore: 46974/46974 (100.0%)
T=172962238.15 | W=100.4um | Current HPWL=1519351.72 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 117/500 (23.4%) | Refine: 112061/112061 (100.0%) | Explore: 48439/48439 (100.0%)
T=156423947.84 | W=100.4um | Current HPWL=1538979.34 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 111/500 (22.2%) | Refine: 115561/115561 (100.0%) | Explore: 49939/49939 (100.0%)
T=141467014.53 | W=100.4um | Current HPWL=1520764.32 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 123/500 (24.6%) | Refine: 118991/118991 (100.0%) | Explore: 51509/51509 (100.0%)
T=127940232.14 | W=100.4um | Current HPWL=1512211.93 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 128/500 (25.6%) | Refine: 122457/122457 (100.0%) | Explore: 53043/53043 (100.0%)
T=115706852.62 | W=100.4um | Current HPWL=1534436.79 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 118/500 (23.6%) | Refine: 125924/125924 (100.0%) | Explore: 54576/54576 (100.0%)
T=104643203.47 | W=100.4um | Current HPWL=1545546.19 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 115/500 (23.0%) | Refine: 129431/129431 (100.0%) | Explore: 56069/56069 (100.0%)
T=94637437.49 | W=100.4um | Current HPWL=1528612.21 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 123/500 (24.6%) | Refine: 132921/132921 (100.0%) | Explore: 57579/57579 (100.0%)
T=85588402.09 | W=100.4um | Current HPWL=1550196.42 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 125/500 (25.0%) | Refine: 136366/136366 (100.0%) | Explore: 59134/59134 (100.0%)
