# Log file for: designs/6502_mapped.json
# Configuration: {'alpha': 0.99, 'moves': 800, 't_final': 0.001, '_use_greedy_placement': True, '_greedy_placement': 'build/6502/greedy/6502_placement.json'}
# Start time: 2025-11-23T09:56:31.659936
# Command: /home/mohab/Downloads/work/venv/bin/python placer.py --design designs/6502_mapped.json --fabric-cells fabric/fabric_cells.yaml --pins fabric/pins.yaml --output build/6502/sa_alpha0.99_moves800_Tfinal0.001 --sa-alpha 0.99 --sa-moves 800 --sa-T-final 0.001 --initial-placement build/6502/greedy/6502_placement.json --seed 1378328002
================================================================================

Random seed set to: 1378328002
Loading initial placement from: build/6502/greedy/6502_placement.json

============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 431210.20 um
Initial Temperature: 4312102000.00
Cooling Rate (alpha): 0.99
Moves per Temperature: 800
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=4312102000.00 | W=501.8um | Current HPWL=632201.44 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 44/800 (5.5%) | Refine: 570/570 (100.0%) | Explore: 230/230 (100.0%)
T=3899787754.41 | W=410.0um | Current HPWL=1229410.44 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 161/800 (20.1%) | Refine: 6143/6143 (100.0%) | Explore: 2657/2657 (100.0%)
T=3526898141.43 | W=335.0um | Current HPWL=1375772.99 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 154/800 (19.2%) | Refine: 11748/11748 (100.0%) | Explore: 5052/5052 (100.0%)
T=3189663459.49 | W=273.7um | Current HPWL=1431320.58 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 175/800 (21.9%) | Refine: 17399/17399 (100.0%) | Explore: 7401/7401 (100.0%)
T=2884674458.07 | W=223.7um | Current HPWL=1494926.90 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 163/800 (20.4%) | Refine: 23035/23035 (100.0%) | Explore: 9765/9765 (100.0%)
T=2608847872.12 | W=182.7um | Current HPWL=1509965.16 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 195/800 (24.4%) | Refine: 28623/28623 (100.0%) | Explore: 12177/12177 (100.0%)
T=2359395251.97 | W=149.3um | Current HPWL=1515680.66 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 163/800 (20.4%) | Refine: 34218/34218 (100.0%) | Explore: 14582/14582 (100.0%)
T=2133794773.74 | W=122.0um | Current HPWL=1540616.56 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 195/800 (24.4%) | Refine: 39774/39774 (100.0%) | Explore: 17026/17026 (100.0%)
T=1929765745.12 | W=100.4um | Current HPWL=1526970.35 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 195/800 (24.4%) | Refine: 45350/45350 (100.0%) | Explore: 19450/19450 (100.0%)
T=1745245548.85 | W=100.4um | Current HPWL=1528763.14 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 203/800 (25.4%) | Refine: 50906/50906 (100.0%) | Explore: 21894/21894 (100.0%)
T=1578368790.87 | W=100.4um | Current HPWL=1557225.69 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 178/800 (22.2%) | Refine: 56527/56527 (100.0%) | Explore: 24273/24273 (100.0%)
T=1427448442.22 | W=100.4um | Current HPWL=1556505.20 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 174/800 (21.8%) | Refine: 62181/62181 (100.0%) | Explore: 26619/26619 (100.0%)
T=1290958784.14 | W=100.4um | Current HPWL=1563376.64 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 178/800 (22.2%) | Refine: 67716/67716 (100.0%) | Explore: 29084/29084 (100.0%)
T=1167519983.95 | W=100.4um | Current HPWL=1572191.55 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 192/800 (24.0%) | Refine: 73310/73310 (100.0%) | Explore: 31490/31490 (100.0%)
