# Log file for: designs/6502_mapped.json
# Configuration: {'alpha': 0.98, 'moves': 600, 't_final': 0.001, '_use_greedy_placement': True, '_greedy_placement': 'build/6502/greedy/6502_placement.json'}
# Start time: 2025-11-23T09:17:24.395537
# Command: /home/mohab/Downloads/work/venv/bin/python placer.py --design designs/6502_mapped.json --fabric-cells fabric/fabric_cells.yaml --pins fabric/pins.yaml --output build/6502/sa_alpha0.98_moves600_Tfinal0.001 --sa-alpha 0.98 --sa-moves 600 --sa-T-final 0.001 --initial-placement build/6502/greedy/6502_placement.json --seed 1460620392
================================================================================

Random seed set to: 1460620392
Loading initial placement from: build/6502/greedy/6502_placement.json

============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 431210.20 um
Initial Temperature: 4312102000.00
Cooling Rate (alpha): 0.98
Moves per Temperature: 600
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=4312102000.00 | W=501.8um | Current HPWL=601526.26 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 30/600 (5.0%) | Refine: 432/432 (100.0%) | Explore: 168/168 (100.0%)
T=3523301284.73 | W=410.0um | Current HPWL=1153754.93 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 132/600 (22.0%) | Refine: 4604/4604 (100.0%) | Explore: 1996/1996 (100.0%)
T=2878793670.22 | W=335.0um | Current HPWL=1293286.81 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 126/600 (21.0%) | Refine: 8807/8807 (100.0%) | Explore: 3793/3793 (100.0%)
T=2352184024.58 | W=273.7um | Current HPWL=1350971.15 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 127/600 (21.2%) | Refine: 13051/13051 (100.0%) | Explore: 5549/5549 (100.0%)
T=1921905603.28 | W=223.7um | Current HPWL=1390606.91 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 142/600 (23.7%) | Refine: 17207/17207 (100.0%) | Explore: 7393/7393 (100.0%)
T=1570336805.84 | W=182.7um | Current HPWL=1429285.09 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 143/600 (23.8%) | Refine: 21417/21417 (100.0%) | Explore: 9183/9183 (100.0%)
T=1283079501.71 | W=149.3um | Current HPWL=1446694.92 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 141/600 (23.5%) | Refine: 25600/25600 (100.0%) | Explore: 11000/11000 (100.0%)
T=1048369369.92 | W=122.0um | Current HPWL=1457250.89 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 135/600 (22.5%) | Refine: 29785/29785 (100.0%) | Explore: 12815/12815 (100.0%)
T=856594103.74 | W=100.4um | Current HPWL=1461896.19 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 128/600 (21.3%) | Refine: 34029/34029 (100.0%) | Explore: 14571/14571 (100.0%)
T=699899748.70 | W=100.4um | Current HPWL=1471960.98 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 128/600 (21.3%) | Refine: 38260/38260 (100.0%) | Explore: 16340/16340 (100.0%)
T=571869052.21 | W=100.4um | Current HPWL=1485021.41 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 133/600 (22.2%) | Refine: 42427/42427 (100.0%) | Explore: 18173/18173 (100.0%)
T=467258651.66 | W=100.4um | Current HPWL=1484096.83 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 153/600 (25.5%) | Refine: 46639/46639 (100.0%) | Explore: 19961/19961 (100.0%)
T=381784338.06 | W=100.4um | Current HPWL=1476337.83 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 153/600 (25.5%) | Refine: 50852/50852 (100.0%) | Explore: 21748/21748 (100.0%)
T=311945600.72 | W=100.4um | Current HPWL=1496410.61 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 130/600 (21.7%) | Refine: 55025/55025 (100.0%) | Explore: 23575/23575 (100.0%)
T=254882267.58 | W=100.4um | Current HPWL=1502310.23 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 140/600 (23.3%) | Refine: 59288/59288 (100.0%) | Explore: 25312/25312 (100.0%)
T=208257369.80 | W=100.4um | Current HPWL=1504489.18 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 148/600 (24.7%) | Refine: 63442/63442 (100.0%) | Explore: 27158/27158 (100.0%)
T=170161433.69 | W=100.4um | Current HPWL=1504435.71 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 122/600 (20.3%) | Refine: 67691/67691 (100.0%) | Explore: 28909/28909 (100.0%)
T=139034280.25 | W=100.4um | Current HPWL=1499726.61 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 143/600 (23.8%) | Refine: 71922/71922 (100.0%) | Explore: 30678/30678 (100.0%)
T=113601129.62 | W=100.4um | Current HPWL=1505065.58 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 129/600 (21.5%) | Refine: 76176/76176 (100.0%) | Explore: 32424/32424 (100.0%)
T=92820393.84 | W=100.4um | Current HPWL=1514948.01 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 139/600 (23.2%) | Refine: 80381/80381 (100.0%) | Explore: 34219/34219 (100.0%)
T=75841019.73 | W=100.4um | Current HPWL=1502075.57 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 149/600 (24.8%) | Refine: 84618/84618 (100.0%) | Explore: 35982/35982 (100.0%)
T=61967634.87 | W=100.4um | Current HPWL=1535125.10 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 144/600 (24.0%) | Refine: 88835/88835 (100.0%) | Explore: 37765/37765 (100.0%)
T=50632069.36 | W=100.4um | Current HPWL=1539287.36 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 129/600 (21.5%) | Refine: 93053/93053 (100.0%) | Explore: 39547/39547 (100.0%)
T=41370087.03 | W=100.4um | Current HPWL=1530519.90 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 124/600 (20.7%) | Refine: 97209/97209 (100.0%) | Explore: 41391/41391 (100.0%)
T=33802373.13 | W=100.4um | Current HPWL=1537221.21 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 119/600 (19.8%) | Refine: 101363/101363 (100.0%) | Explore: 43237/43237 (100.0%)
T=27618999.89 | W=100.4um | Current HPWL=1550032.78 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 145/600 (24.2%) | Refine: 105582/105582 (100.0%) | Explore: 45018/45018 (100.0%)
T=22566733.77 | W=100.4um | Current HPWL=1559534.48 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 132/600 (22.0%) | Refine: 109789/109789 (100.0%) | Explore: 46811/46811 (100.0%)
T=18438664.50 | W=100.4um | Current HPWL=1559274.75 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 153/600 (25.5%) | Refine: 113992/113992 (100.0%) | Explore: 48608/48608 (100.0%)
