# Log file for: designs/6502_mapped.json
# Configuration: {'alpha': 0.99, 'moves': 600, 't_final': 0.001, '_use_greedy_placement': True, '_greedy_placement': 'build/6502/greedy/6502_placement.json'}
# Start time: 2025-11-23T09:50:06.258030
# Command: /home/mohab/Downloads/work/venv/bin/python placer.py --design designs/6502_mapped.json --fabric-cells fabric/fabric_cells.yaml --pins fabric/pins.yaml --output build/6502/sa_alpha0.99_moves600_Tfinal0.001 --sa-alpha 0.99 --sa-moves 600 --sa-T-final 0.001 --initial-placement build/6502/greedy/6502_placement.json --seed 1368867414
================================================================================

Random seed set to: 1368867414
Loading initial placement from: build/6502/greedy/6502_placement.json

============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 431210.20 um
Initial Temperature: 4312102000.00
Cooling Rate (alpha): 0.99
Moves per Temperature: 600
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=4312102000.00 | W=501.8um | Current HPWL=587523.74 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 26/600 (4.3%) | Refine: 413/413 (100.0%) | Explore: 187/187 (100.0%)
T=3899787754.41 | W=410.0um | Current HPWL=1159956.87 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 132/600 (22.0%) | Refine: 4578/4578 (100.0%) | Explore: 2022/2022 (100.0%)
T=3526898141.43 | W=335.0um | Current HPWL=1290981.48 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 135/600 (22.5%) | Refine: 8750/8750 (100.0%) | Explore: 3850/3850 (100.0%)
T=3189663459.49 | W=273.7um | Current HPWL=1354916.24 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 126/600 (21.0%) | Refine: 12966/12966 (100.0%) | Explore: 5634/5634 (100.0%)
T=2884674458.07 | W=223.7um | Current HPWL=1374999.25 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 148/600 (24.7%) | Refine: 17117/17117 (100.0%) | Explore: 7483/7483 (100.0%)
T=2608847872.12 | W=182.7um | Current HPWL=1427799.96 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 127/600 (21.2%) | Refine: 21272/21272 (100.0%) | Explore: 9328/9328 (100.0%)
T=2359395251.97 | W=149.3um | Current HPWL=1442288.77 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 123/600 (20.5%) | Refine: 25492/25492 (100.0%) | Explore: 11108/11108 (100.0%)
T=2133794773.74 | W=122.0um | Current HPWL=1428527.66 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 144/600 (24.0%) | Refine: 29703/29703 (100.0%) | Explore: 12897/12897 (100.0%)
T=1929765745.12 | W=100.4um | Current HPWL=1429992.97 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 135/600 (22.5%) | Refine: 33904/33904 (100.0%) | Explore: 14696/14696 (100.0%)
T=1745245548.85 | W=100.4um | Current HPWL=1447572.00 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 130/600 (21.7%) | Refine: 38145/38145 (100.0%) | Explore: 16455/16455 (100.0%)
T=1578368790.87 | W=100.4um | Current HPWL=1460297.04 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 141/600 (23.5%) | Refine: 42331/42331 (100.0%) | Explore: 18269/18269 (100.0%)
T=1427448442.22 | W=100.4um | Current HPWL=1477920.90 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 139/600 (23.2%) | Refine: 46546/46546 (100.0%) | Explore: 20054/20054 (100.0%)
T=1290958784.14 | W=100.4um | Current HPWL=1461962.14 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 143/600 (23.8%) | Refine: 50724/50724 (100.0%) | Explore: 21876/21876 (100.0%)
T=1167519983.95 | W=100.4um | Current HPWL=1486809.69 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 141/600 (23.5%) | Refine: 54921/54921 (100.0%) | Explore: 23679/23679 (100.0%)
T=1055884145.70 | W=100.4um | Current HPWL=1494576.31 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 128/600 (21.3%) | Refine: 59128/59128 (100.0%) | Explore: 25472/25472 (100.0%)
T=954922694.66 | W=100.4um | Current HPWL=1507474.99 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 133/600 (22.2%) | Refine: 63288/63288 (100.0%) | Explore: 27312/27312 (100.0%)
T=863614968.07 | W=100.4um | Current HPWL=1511615.61 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 151/600 (25.2%) | Refine: 67500/67500 (100.0%) | Explore: 29100/29100 (100.0%)
T=781037896.83 | W=100.4um | Current HPWL=1510112.54 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 139/600 (23.2%) | Refine: 71752/71752 (100.0%) | Explore: 30848/30848 (100.0%)
T=706356673.79 | W=100.4um | Current HPWL=1489950.53 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 159/600 (26.5%) | Refine: 75967/75967 (100.0%) | Explore: 32633/32633 (100.0%)
T=638816314.34 | W=100.4um | Current HPWL=1502481.55 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 125/600 (20.8%) | Refine: 80131/80131 (100.0%) | Explore: 34469/34469 (100.0%)
T=577734023.91 | W=100.4um | Current HPWL=1519603.14 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 145/600 (24.2%) | Refine: 84297/84297 (100.0%) | Explore: 36303/36303 (100.0%)
T=522492295.35 | W=100.4um | Current HPWL=1522442.69 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 135/600 (22.5%) | Refine: 88459/88459 (100.0%) | Explore: 38141/38141 (100.0%)
T=472532666.25 | W=100.4um | Current HPWL=1500430.27 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 150/600 (25.0%) | Refine: 92639/92639 (100.0%) | Explore: 39961/39961 (100.0%)
T=427350073.21 | W=100.4um | Current HPWL=1499944.81 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 147/600 (24.5%) | Refine: 96820/96820 (100.0%) | Explore: 41780/41780 (100.0%)
T=386487745.96 | W=100.4um | Current HPWL=1534592.56 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 127/600 (21.2%) | Refine: 100989/100989 (100.0%) | Explore: 43611/43611 (100.0%)
T=349532589.66 | W=100.4um | Current HPWL=1550432.59 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 122/600 (20.3%) | Refine: 105243/105243 (100.0%) | Explore: 45357/45357 (100.0%)
T=316111008.72 | W=100.4um | Current HPWL=1534944.86 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 162/600 (27.0%) | Refine: 109413/109413 (100.0%) | Explore: 47187/47187 (100.0%)
T=285885130.00 | W=100.4um | Current HPWL=1546311.06 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 139/600 (23.2%) | Refine: 113642/113642 (100.0%) | Explore: 48958/48958 (100.0%)
T=258549387.08 | W=100.4um | Current HPWL=1552204.79 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 142/600 (23.7%) | Refine: 117818/117818 (100.0%) | Explore: 50782/50782 (100.0%)
T=233827431.18 | W=100.4um | Current HPWL=1591125.99 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 115/600 (19.2%) | Refine: 122028/122028 (100.0%) | Explore: 52572/52572 (100.0%)
T=211469337.41 | W=100.4um | Current HPWL=1562728.73 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 142/600 (23.7%) | Refine: 126253/126253 (100.0%) | Explore: 54347/54347 (100.0%)
T=191249078.16 | W=100.4um | Current HPWL=1553153.42 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 151/600 (25.2%) | Refine: 130438/130438 (100.0%) | Explore: 56162/56162 (100.0%)
T=172962238.15 | W=100.4um | Current HPWL=1549208.87 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 140/600 (23.3%) | Refine: 134611/134611 (100.0%) | Explore: 57989/57989 (100.0%)
