# Log file for: designs/6502_mapped.json
# Configuration: {'alpha': 0.99, 'moves': 400, 't_final': 0.001, '_use_greedy_placement': True, '_greedy_placement': 'build/6502/greedy/6502_placement.json'}
# Start time: 2025-11-23T09:38:29.583944
# Command: /home/mohab/Downloads/work/venv/bin/python placer.py --design designs/6502_mapped.json --fabric-cells fabric/fabric_cells.yaml --pins fabric/pins.yaml --output build/6502/sa_alpha0.99_moves400_Tfinal0.001 --sa-alpha 0.99 --sa-moves 400 --sa-T-final 0.001 --initial-placement build/6502/greedy/6502_placement.json --seed 641584290
================================================================================

Random seed set to: 641584290
Loading initial placement from: build/6502/greedy/6502_placement.json

============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 431210.20 um
Initial Temperature: 4312102000.00
Cooling Rate (alpha): 0.99
Moves per Temperature: 400
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=4312102000.00 | W=501.8um | Current HPWL=532159.46 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 15/400 (3.8%) | Refine: 280/280 (100.0%) | Explore: 120/120 (100.0%)
T=3899787754.41 | W=410.0um | Current HPWL=1035691.22 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 65/400 (16.2%) | Refine: 3025/3025 (100.0%) | Explore: 1375/1375 (100.0%)
T=3526898141.43 | W=335.0um | Current HPWL=1184895.00 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 78/400 (19.5%) | Refine: 5818/5818 (100.0%) | Explore: 2582/2582 (100.0%)
T=3189663459.49 | W=273.7um | Current HPWL=1269618.42 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 78/400 (19.5%) | Refine: 8695/8695 (100.0%) | Explore: 3705/3705 (100.0%)
T=2884674458.07 | W=223.7um | Current HPWL=1319199.73 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 82/400 (20.5%) | Refine: 11474/11474 (100.0%) | Explore: 4926/4926 (100.0%)
T=2608847872.12 | W=182.7um | Current HPWL=1331495.53 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 89/400 (22.2%) | Refine: 14254/14254 (100.0%) | Explore: 6146/6146 (100.0%)
T=2359395251.97 | W=149.3um | Current HPWL=1330816.27 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 96/400 (24.0%) | Refine: 17110/17110 (100.0%) | Explore: 7290/7290 (100.0%)
T=2133794773.74 | W=122.0um | Current HPWL=1342962.44 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 89/400 (22.2%) | Refine: 19860/19860 (100.0%) | Explore: 8540/8540 (100.0%)
T=1929765745.12 | W=100.4um | Current HPWL=1357754.38 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 85/400 (21.2%) | Refine: 22659/22659 (100.0%) | Explore: 9741/9741 (100.0%)
T=1745245548.85 | W=100.4um | Current HPWL=1345691.21 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 93/400 (23.2%) | Refine: 25431/25431 (100.0%) | Explore: 10969/10969 (100.0%)
T=1578368790.87 | W=100.4um | Current HPWL=1371147.87 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 99/400 (24.8%) | Refine: 28224/28224 (100.0%) | Explore: 12176/12176 (100.0%)
T=1427448442.22 | W=100.4um | Current HPWL=1388429.97 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 93/400 (23.2%) | Refine: 31029/31029 (100.0%) | Explore: 13371/13371 (100.0%)
T=1290958784.14 | W=100.4um | Current HPWL=1387701.96 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 82/400 (20.5%) | Refine: 33850/33850 (100.0%) | Explore: 14550/14550 (100.0%)
T=1167519983.95 | W=100.4um | Current HPWL=1376780.89 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 104/400 (26.0%) | Refine: 36677/36677 (100.0%) | Explore: 15723/15723 (100.0%)
T=1055884145.70 | W=100.4um | Current HPWL=1401859.30 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 83/400 (20.8%) | Refine: 39477/39477 (100.0%) | Explore: 16923/16923 (100.0%)
T=954922694.66 | W=100.4um | Current HPWL=1398744.11 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 85/400 (21.2%) | Refine: 42306/42306 (100.0%) | Explore: 18094/18094 (100.0%)
T=863614968.07 | W=100.4um | Current HPWL=1389143.91 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 83/400 (20.8%) | Refine: 45152/45152 (100.0%) | Explore: 19248/19248 (100.0%)
T=781037896.83 | W=100.4um | Current HPWL=1428563.37 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 86/400 (21.5%) | Refine: 47928/47928 (100.0%) | Explore: 20472/20472 (100.0%)
T=706356673.79 | W=100.4um | Current HPWL=1441228.56 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 99/400 (24.8%) | Refine: 50733/50733 (100.0%) | Explore: 21667/21667 (100.0%)
T=638816314.34 | W=100.4um | Current HPWL=1429769.49 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 88/400 (22.0%) | Refine: 53529/53529 (100.0%) | Explore: 22871/22871 (100.0%)
T=577734023.91 | W=100.4um | Current HPWL=1416743.47 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 85/400 (21.2%) | Refine: 56314/56314 (100.0%) | Explore: 24086/24086 (100.0%)
T=522492295.35 | W=100.4um | Current HPWL=1414297.85 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 83/400 (20.8%) | Refine: 59114/59114 (100.0%) | Explore: 25286/25286 (100.0%)
T=472532666.25 | W=100.4um | Current HPWL=1431031.26 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 97/400 (24.2%) | Refine: 61864/61864 (100.0%) | Explore: 26536/26536 (100.0%)
T=427350073.21 | W=100.4um | Current HPWL=1438865.59 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 94/400 (23.5%) | Refine: 64641/64641 (100.0%) | Explore: 27759/27759 (100.0%)
T=386487745.96 | W=100.4um | Current HPWL=1459388.47 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 73/400 (18.2%) | Refine: 67434/67434 (100.0%) | Explore: 28966/28966 (100.0%)
T=349532589.66 | W=100.4um | Current HPWL=1452818.61 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 95/400 (23.8%) | Refine: 70263/70263 (100.0%) | Explore: 30137/30137 (100.0%)
T=316111008.72 | W=100.4um | Current HPWL=1441140.03 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 85/400 (21.2%) | Refine: 73050/73050 (100.0%) | Explore: 31350/31350 (100.0%)
T=285885130.00 | W=100.4um | Current HPWL=1457037.65 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 94/400 (23.5%) | Refine: 75841/75841 (100.0%) | Explore: 32559/32559 (100.0%)
T=258549387.08 | W=100.4um | Current HPWL=1460344.65 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 93/400 (23.2%) | Refine: 78675/78675 (100.0%) | Explore: 33725/33725 (100.0%)
T=233827431.18 | W=100.4um | Current HPWL=1454943.62 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 106/400 (26.5%) | Refine: 81467/81467 (100.0%) | Explore: 34933/34933 (100.0%)
