
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 1256322.32 um
Initial Temperature: 12563223200.00
Cooling Rate (alpha): 0.9772222222222222
Moves per Temperature: 1167
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=12563223200.00 | W=501.8um | Current HPWL=1707781.56 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 30/1167 (2.6%) | Refine: 799/799 (100.0%) | Explore: 368/368 (100.0%)
T=9977791376.33 | W=410.0um | Current HPWL=3750075.15 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 192/1167 (16.5%) | Refine: 9028/9028 (100.0%) | Explore: 3809/3809 (100.0%)
T=7924425059.13 | W=335.0um | Current HPWL=4242846.90 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 270/1167 (23.1%) | Refine: 17209/17209 (100.0%) | Explore: 7298/7298 (100.0%)
T=6293628534.54 | W=273.7um | Current HPWL=4465322.46 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 309/1167 (26.5%) | Refine: 25471/25471 (100.0%) | Explore: 10706/10706 (100.0%)
T=4998439613.63 | W=223.7um | Current HPWL=4549241.21 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 323/1167 (27.7%) | Refine: 33567/33567 (100.0%) | Explore: 14280/14280 (100.0%)
T=3969792375.57 | W=182.7um | Current HPWL=4630823.81 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 318/1167 (27.2%) | Refine: 41678/41678 (100.0%) | Explore: 17839/17839 (100.0%)
T=3152834228.94 | W=149.3um | Current HPWL=4662689.71 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 329/1167 (28.2%) | Refine: 49870/49870 (100.0%) | Explore: 21317/21317 (100.0%)
T=2504000898.47 | W=122.0um | Current HPWL=4686920.26 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 292/1167 (25.0%) | Refine: 58056/58056 (100.0%) | Explore: 24801/24801 (100.0%)
T=1988693361.04 | W=100.4um | Current HPWL=4740815.86 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 307/1167 (26.3%) | Refine: 66147/66147 (100.0%) | Explore: 28380/28380 (100.0%)
T=1579432853.50 | W=100.4um | Current HPWL=4742192.56 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 316/1167 (27.1%) | Refine: 74384/74384 (100.0%) | Explore: 31813/31813 (100.0%)
T=1254395568.26 | W=100.4um | Current HPWL=4763027.96 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 318/1167 (27.2%) | Refine: 82518/82518 (100.0%) | Explore: 35349/35349 (100.0%)
T=996248899.21 | W=100.4um | Current HPWL=4750201.51 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 342/1167 (29.3%) | Refine: 90649/90649 (100.0%) | Explore: 38888/38888 (100.0%)
T=791227180.87 | W=100.4um | Current HPWL=4793546.66 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 312/1167 (26.7%) | Refine: 98785/98785 (100.0%) | Explore: 42422/42422 (100.0%)
T=628397634.61 | W=100.4um | Current HPWL=4779065.27 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 364/1167 (31.2%) | Refine: 106945/106945 (100.0%) | Explore: 45932/45932 (100.0%)
T=499077378.45 | W=100.4um | Current HPWL=4813954.75 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 330/1167 (28.3%) | Refine: 115162/115162 (100.0%) | Explore: 49385/49385 (100.0%)
T=396370412.56 | W=100.4um | Current HPWL=4797035.98 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 348/1167 (29.8%) | Refine: 123315/123315 (100.0%) | Explore: 52902/52902 (100.0%)
T=314799890.23 | W=100.4um | Current HPWL=4828395.04 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 355/1167 (30.4%) | Refine: 131469/131469 (100.0%) | Explore: 56418/56418 (100.0%)
T=250016065.14 | W=100.4um | Current HPWL=4839688.90 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 335/1167 (28.7%) | Refine: 139584/139584 (100.0%) | Explore: 59973/59973 (100.0%)
T=198564341.25 | W=100.4um | Current HPWL=4852943.54 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 297/1167 (25.4%) | Refine: 147742/147742 (100.0%) | Explore: 63485/63485 (100.0%)
