
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 1256322.32 um
Initial Temperature: 12563223200.00
Cooling Rate (alpha): 0.9838888888888889
Moves per Temperature: 1667
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=12563223200.00 | W=501.8um | Current HPWL=1916939.10 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 50/1667 (3.0%) | Refine: 1166/1166 (100.0%) | Explore: 501/501 (100.0%)
T=10679763523.66 | W=410.0um | Current HPWL=4030885.53 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 352/1667 (21.1%) | Refine: 12782/12782 (100.0%) | Explore: 5555/5555 (100.0%)
T=9078669311.65 | W=335.0um | Current HPWL=4507366.64 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 450/1667 (27.0%) | Refine: 24440/24440 (100.0%) | Explore: 10567/10567 (100.0%)
T=7717608754.89 | W=273.7um | Current HPWL=4678316.83 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 444/1667 (26.6%) | Refine: 36219/36219 (100.0%) | Explore: 15458/15458 (100.0%)
T=6560596365.93 | W=223.7um | Current HPWL=4835554.59 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 455/1667 (27.3%) | Refine: 47940/47940 (100.0%) | Explore: 20407/20407 (100.0%)
T=5577041547.93 | W=182.7um | Current HPWL=4902546.19 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 495/1667 (29.7%) | Refine: 59514/59514 (100.0%) | Explore: 25503/25503 (100.0%)
T=4740939800.66 | W=149.3um | Current HPWL=4923205.90 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 457/1667 (27.4%) | Refine: 71220/71220 (100.0%) | Explore: 30467/30467 (100.0%)
T=4030185179.79 | W=122.0um | Current HPWL=4974355.03 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 456/1667 (27.4%) | Refine: 82869/82869 (100.0%) | Explore: 35488/35488 (100.0%)
T=3425985831.14 | W=100.4um | Current HPWL=5002773.55 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 460/1667 (27.6%) | Refine: 94472/94472 (100.0%) | Explore: 40555/40555 (100.0%)
T=2912367147.31 | W=100.4um | Current HPWL=5009039.96 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 436/1667 (26.2%) | Refine: 106185/106185 (100.0%) | Explore: 45512/45512 (100.0%)
T=2475749410.18 | W=100.4um | Current HPWL=5057996.03 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 447/1667 (26.8%) | Refine: 117935/117935 (100.0%) | Explore: 50432/50432 (100.0%)
T=2104588752.71 | W=100.4um | Current HPWL=5077128.51 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 467/1667 (28.0%) | Refine: 129636/129636 (100.0%) | Explore: 55401/55401 (100.0%)
T=1789071947.20 | W=100.4um | Current HPWL=5093268.25 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 457/1667 (27.4%) | Refine: 141403/141403 (100.0%) | Explore: 60304/60304 (100.0%)
T=1520856950.38 | W=100.4um | Current HPWL=5126613.47 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 435/1667 (26.1%) | Refine: 153192/153192 (100.0%) | Explore: 65185/65185 (100.0%)
T=1292852345.68 | W=100.4um | Current HPWL=5146201.55 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 488/1667 (29.3%) | Refine: 164831/164831 (100.0%) | Explore: 70216/70216 (100.0%)
T=1099029851.10 | W=100.4um | Current HPWL=5108959.18 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 472/1667 (28.3%) | Refine: 176639/176639 (100.0%) | Explore: 75078/75078 (100.0%)
