
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 1256322.32 um
Initial Temperature: 12563223200.00
Cooling Rate (alpha): 0.9794444444444445
Moves per Temperature: 1333
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=12563223200.00 | W=501.8um | Current HPWL=1807122.00 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 30/1333 (2.3%) | Refine: 926/926 (100.0%) | Explore: 407/407 (100.0%)
T=10207024272.65 | W=410.0um | Current HPWL=3823008.59 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 272/1333 (20.4%) | Refine: 10204/10204 (100.0%) | Explore: 4459/4459 (100.0%)
T=8292724155.56 | W=335.0um | Current HPWL=4334763.26 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 315/1333 (23.6%) | Refine: 19451/19451 (100.0%) | Explore: 8542/8542 (100.0%)
T=6737445908.16 | W=273.7um | Current HPWL=4576474.93 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 327/1333 (24.5%) | Refine: 28689/28689 (100.0%) | Explore: 12634/12634 (100.0%)
T=5473855938.52 | W=223.7um | Current HPWL=4640310.55 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 344/1333 (25.8%) | Refine: 37968/37968 (100.0%) | Explore: 16685/16685 (100.0%)
T=4447248889.87 | W=182.7um | Current HPWL=4727062.76 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 369/1333 (27.7%) | Refine: 47429/47429 (100.0%) | Explore: 20554/20554 (100.0%)
T=3613179248.89 | W=149.3um | Current HPWL=4725066.94 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 353/1333 (26.5%) | Refine: 56752/56752 (100.0%) | Explore: 24561/24561 (100.0%)
T=2935537139.45 | W=122.0um | Current HPWL=4751035.21 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 361/1333 (27.1%) | Refine: 66138/66138 (100.0%) | Explore: 28505/28505 (100.0%)
T=2384984996.18 | W=100.4um | Current HPWL=4785326.79 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 356/1333 (26.7%) | Refine: 75499/75499 (100.0%) | Explore: 32474/32474 (100.0%)
T=1937687435.65 | W=100.4um | Current HPWL=4792956.37 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 373/1333 (28.0%) | Refine: 84790/84790 (100.0%) | Explore: 36513/36513 (100.0%)
T=1574279336.89 | W=100.4um | Current HPWL=4805753.90 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 374/1333 (28.1%) | Refine: 94107/94107 (100.0%) | Explore: 40526/40526 (100.0%)
T=1279027455.59 | W=100.4um | Current HPWL=4833607.67 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 377/1333 (28.3%) | Refine: 103397/103397 (100.0%) | Explore: 44566/44566 (100.0%)
