
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 1256322.32 um
Initial Temperature: 12563223200.00
Cooling Rate (alpha): 0.9927777777777778
Moves per Temperature: 2333
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=12563223200.00 | W=501.8um | Current HPWL=2094380.21 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 87/2333 (3.7%) | Refine: 1667/1667 (100.0%) | Explore: 666/666 (100.0%)
T=11684807165.00 | W=410.0um | Current HPWL=4367547.01 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 545/2333 (23.4%) | Refine: 18028/18028 (100.0%) | Explore: 7635/7635 (100.0%)
T=10867809662.35 | W=335.0um | Current HPWL=4821796.44 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 658/2333 (28.2%) | Refine: 34376/34376 (100.0%) | Explore: 14617/14617 (100.0%)
T=10107936330.42 | W=273.7um | Current HPWL=5060281.70 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 625/2333 (26.8%) | Refine: 50746/50746 (100.0%) | Explore: 21577/21577 (100.0%)
T=9401193067.80 | W=223.7um | Current HPWL=5155256.79 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 640/2333 (27.4%) | Refine: 67037/67037 (100.0%) | Explore: 28616/28616 (100.0%)
T=8743865039.20 | W=182.7um | Current HPWL=5232716.68 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 621/2333 (26.6%) | Refine: 83432/83432 (100.0%) | Explore: 35551/35551 (100.0%)
T=8132497149.29 | W=149.3um | Current HPWL=5285433.93 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 629/2333 (27.0%) | Refine: 99672/99672 (100.0%) | Explore: 42641/42641 (100.0%)
T=7563875881.73 | W=122.0um | Current HPWL=5332297.12 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 638/2333 (27.3%) | Refine: 115941/115941 (100.0%) | Explore: 49702/49702 (100.0%)
T=7035012408.13 | W=100.4um | Current HPWL=5337421.10 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 642/2333 (27.5%) | Refine: 132154/132154 (100.0%) | Explore: 56819/56819 (100.0%)
T=6543126877.85 | W=100.4um | Current HPWL=5350614.51 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 644/2333 (27.6%) | Refine: 148606/148606 (100.0%) | Explore: 63697/63697 (100.0%)
T=6085633806.44 | W=100.4um | Current HPWL=5375414.97 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 659/2333 (28.2%) | Refine: 164897/164897 (100.0%) | Explore: 70736/70736 (100.0%)
T=5660128485.58 | W=100.4um | Current HPWL=5386445.15 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 641/2333 (27.5%) | Refine: 181312/181312 (100.0%) | Explore: 77651/77651 (100.0%)
T=5264374343.29 | W=100.4um | Current HPWL=5451084.41 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 643/2333 (27.6%) | Refine: 197548/197548 (100.0%) | Explore: 84745/84745 (100.0%)
T=4896291187.90 | W=100.4um | Current HPWL=5434436.00 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 666/2333 (28.5%) | Refine: 213869/213869 (100.0%) | Explore: 91754/91754 (100.0%)
T=4553944273.97 | W=100.4um | Current HPWL=5469609.09 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 598/2333 (25.6%) | Refine: 230175/230175 (100.0%) | Explore: 98778/98778 (100.0%)
T=4235534132.79 | W=100.4um | Current HPWL=5456847.66 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 666/2333 (28.5%) | Refine: 246537/246537 (100.0%) | Explore: 105746/105746 (100.0%)
T=3939387113.85 | W=100.4um | Current HPWL=5518714.03 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 700/2333 (30.0%) | Refine: 262915/262915 (100.0%) | Explore: 112698/112698 (100.0%)
T=3663946587.66 | W=100.4um | Current HPWL=5527742.39 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 640/2333 (27.4%) | Refine: 279227/279227 (100.0%) | Explore: 119716/119716 (100.0%)
T=3407764763.71 | W=100.4um | Current HPWL=5543835.22 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 650/2333 (27.9%) | Refine: 295619/295619 (100.0%) | Explore: 126654/126654 (100.0%)
T=3169495080.50 | W=100.4um | Current HPWL=5558137.48 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 690/2333 (29.6%) | Refine: 311962/311962 (100.0%) | Explore: 133641/133641 (100.0%)
T=2947885127.61 | W=100.4um | Current HPWL=5537239.07 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 671/2333 (28.8%) | Refine: 328290/328290 (100.0%) | Explore: 140643/140643 (100.0%)
T=2741770062.69 | W=100.4um | Current HPWL=5574159.07 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 644/2333 (27.6%) | Refine: 344554/344554 (100.0%) | Explore: 147709/147709 (100.0%)
T=2550066488.77 | W=100.4um | Current HPWL=5607377.11 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 656/2333 (28.1%) | Refine: 360923/360923 (100.0%) | Explore: 154670/154670 (100.0%)
T=2371766759.60 | W=100.4um | Current HPWL=5612256.01 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 655/2333 (28.1%) | Refine: 377307/377307 (100.0%) | Explore: 161616/161616 (100.0%)
T=2205933683.19 | W=100.4um | Current HPWL=5625134.19 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 646/2333 (27.7%) | Refine: 393631/393631 (100.0%) | Explore: 168622/168622 (100.0%)
T=2051695595.67 | W=100.4um | Current HPWL=5638278.95 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 623/2333 (26.7%) | Refine: 410068/410068 (100.0%) | Explore: 175515/175515 (100.0%)
T=1908241779.60 | W=100.4um | Current HPWL=5683684.74 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 667/2333 (28.6%) | Refine: 426357/426357 (100.0%) | Explore: 182556/182556 (100.0%)
T=1774818202.61 | W=100.4um | Current HPWL=5723176.18 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 630/2333 (27.0%) | Refine: 442706/442706 (100.0%) | Explore: 189537/189537 (100.0%)
T=1650723554.00 | W=100.4um | Current HPWL=5669165.61 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 683/2333 (29.3%) | Refine: 458998/458998 (100.0%) | Explore: 196575/196575 (100.0%)
T=1535305558.47 | W=100.4um | Current HPWL=5715327.57 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 656/2333 (28.1%) | Refine: 475241/475241 (100.0%) | Explore: 203662/203662 (100.0%)
T=1427957547.56 | W=100.4um | Current HPWL=5748265.05 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 636/2333 (27.3%) | Refine: 491461/491461 (100.0%) | Explore: 210772/210772 (100.0%)
