
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 1256322.32 um
Initial Temperature: 12563223200.00
Cooling Rate (alpha): 0.9816666666666667
Moves per Temperature: 1500
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=12563223200.00 | W=501.8um | Current HPWL=1871440.22 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 54/1500 (3.6%) | Refine: 1028/1028 (100.0%) | Explore: 472/472 (100.0%)
T=10440986148.64 | W=410.0um | Current HPWL=3952944.06 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 339/1500 (22.6%) | Refine: 11606/11606 (100.0%) | Explore: 4894/4894 (100.0%)
T=8677247074.32 | W=335.0um | Current HPWL=4407891.56 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 394/1500 (26.3%) | Refine: 22162/22162 (100.0%) | Explore: 9338/9338 (100.0%)
T=7211446861.13 | W=273.7um | Current HPWL=4624238.06 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 395/1500 (26.3%) | Refine: 32635/32635 (100.0%) | Explore: 13865/13865 (100.0%)
T=5993256315.68 | W=223.7um | Current HPWL=4767717.53 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 406/1500 (27.1%) | Refine: 43185/43185 (100.0%) | Explore: 18315/18315 (100.0%)
T=4980848081.83 | W=182.7um | Current HPWL=4803843.29 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 431/1500 (28.7%) | Refine: 53657/53657 (100.0%) | Explore: 22843/22843 (100.0%)
T=4139460471.49 | W=149.3um | Current HPWL=4862269.78 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 423/1500 (28.2%) | Refine: 64128/64128 (100.0%) | Explore: 27372/27372 (100.0%)
T=3440203899.72 | W=122.0um | Current HPWL=4866139.67 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 398/1500 (26.5%) | Refine: 74615/74615 (100.0%) | Explore: 31885/31885 (100.0%)
T=2859068942.23 | W=100.4um | Current HPWL=4920933.85 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 426/1500 (28.4%) | Refine: 85022/85022 (100.0%) | Explore: 36478/36478 (100.0%)
T=2376101956.37 | W=100.4um | Current HPWL=4925356.38 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 414/1500 (27.6%) | Refine: 95388/95388 (100.0%) | Explore: 41112/41112 (100.0%)
T=1974719959.94 | W=100.4um | Current HPWL=4971871.10 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 449/1500 (29.9%) | Refine: 105949/105949 (100.0%) | Explore: 45551/45551 (100.0%)
T=1641141243.85 | W=100.4um | Current HPWL=4948674.16 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 415/1500 (27.7%) | Refine: 116531/116531 (100.0%) | Explore: 49969/49969 (100.0%)
T=1363912168.26 | W=100.4um | Current HPWL=4934681.39 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 390/1500 (26.0%) | Refine: 127062/127062 (100.0%) | Explore: 54438/54438 (100.0%)
T=1133513894.49 | W=100.4um | Current HPWL=4989191.15 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 388/1500 (25.9%) | Refine: 137535/137535 (100.0%) | Explore: 58965/58965 (100.0%)
T=942035549.57 | W=100.4um | Current HPWL=5008828.75 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 416/1500 (27.7%) | Refine: 148114/148114 (100.0%) | Explore: 63386/63386 (100.0%)
T=782902601.35 | W=100.4um | Current HPWL=5035407.74 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 421/1500 (28.1%) | Refine: 158673/158673 (100.0%) | Explore: 67827/67827 (100.0%)
T=650651117.66 | W=100.4um | Current HPWL=5033050.17 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 398/1500 (26.5%) | Refine: 169150/169150 (100.0%) | Explore: 72350/72350 (100.0%)
T=540740158.71 | W=100.4um | Current HPWL=5045293.16 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 374/1500 (24.9%) | Refine: 179685/179685 (100.0%) | Explore: 76815/76815 (100.0%)
T=449395861.01 | W=100.4um | Current HPWL=5058192.18 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 440/1500 (29.3%) | Refine: 190198/190198 (100.0%) | Explore: 81302/81302 (100.0%)
T=373481859.35 | W=100.4um | Current HPWL=5082538.60 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 441/1500 (29.4%) | Refine: 200598/200598 (100.0%) | Explore: 85902/85902 (100.0%)
T=310391597.61 | W=100.4um | Current HPWL=5086196.79 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 443/1500 (29.5%) | Refine: 211099/211099 (100.0%) | Explore: 90401/90401 (100.0%)
T=257958831.08 | W=100.4um | Current HPWL=5117506.07 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 419/1500 (27.9%) | Refine: 221677/221677 (100.0%) | Explore: 94823/94823 (100.0%)
T=214383246.99 | W=100.4um | Current HPWL=5107169.88 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 422/1500 (28.1%) | Refine: 232215/232215 (100.0%) | Explore: 99285/99285 (100.0%)
T=178168649.61 | W=100.4um | Current HPWL=5152560.12 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 407/1500 (27.1%) | Refine: 242621/242621 (100.0%) | Explore: 103879/103879 (100.0%)
T=148071587.45 | W=100.4um | Current HPWL=5159224.67 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 430/1500 (28.7%) | Refine: 253073/253073 (100.0%) | Explore: 108427/108427 (100.0%)
T=123058658.51 | W=100.4um | Current HPWL=5200359.52 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 395/1500 (26.3%) | Refine: 263538/263538 (100.0%) | Explore: 112962/112962 (100.0%)
T=102271027.79 | W=100.4um | Current HPWL=5196862.10 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 427/1500 (28.5%) | Refine: 274003/274003 (100.0%) | Explore: 117497/117497 (100.0%)
T=84994938.60 | W=100.4um | Current HPWL=5195249.43 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 431/1500 (28.7%) | Refine: 284470/284470 (100.0%) | Explore: 122030/122030 (100.0%)
T=70637205.32 | W=100.4um | Current HPWL=5206630.65 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 390/1500 (26.0%) | Refine: 294932/294932 (100.0%) | Explore: 126568/126568 (100.0%)
T=58704845.93 | W=100.4um | Current HPWL=5224472.79 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 412/1500 (27.5%) | Refine: 305385/305385 (100.0%) | Explore: 131115/131115 (100.0%)
T=48788155.19 | W=100.4um | Current HPWL=5245939.44 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 372/1500 (24.8%) | Refine: 315902/315902 (100.0%) | Explore: 135598/135598 (100.0%)
T=40546637.15 | W=100.4um | Current HPWL=5246494.81 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 421/1500 (28.1%) | Refine: 326447/326447 (100.0%) | Explore: 140053/140053 (100.0%)
T=33697313.99 | W=100.4um | Current HPWL=5256023.53 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 430/1500 (28.7%) | Refine: 336989/336989 (100.0%) | Explore: 144511/144511 (100.0%)
T=28005009.78 | W=100.4um | Current HPWL=5315212.05 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 424/1500 (28.3%) | Refine: 347338/347338 (100.0%) | Explore: 149162/149162 (100.0%)
T=23274275.60 | W=100.4um | Current HPWL=5284086.77 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 394/1500 (26.3%) | Refine: 357874/357874 (100.0%) | Explore: 153626/153626 (100.0%)
T=19342678.65 | W=100.4um | Current HPWL=5285712.40 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 460/1500 (30.7%) | Refine: 368411/368411 (100.0%) | Explore: 158089/158089 (100.0%)
T=16075225.02 | W=100.4um | Current HPWL=5298653.91 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 435/1500 (29.0%) | Refine: 378955/378955 (100.0%) | Explore: 162545/162545 (100.0%)
T=13359724.58 | W=100.4um | Current HPWL=5329420.52 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 393/1500 (26.2%) | Refine: 389486/389486 (100.0%) | Explore: 167014/167014 (100.0%)
T=11102938.87 | W=100.4um | Current HPWL=5327126.28 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 416/1500 (27.7%) | Refine: 400010/400010 (100.0%) | Explore: 171489/171490 (100.0%)
T=9227379.72 | W=100.4um | Current HPWL=5329867.00 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 400/1500 (26.7%) | Refine: 410589/410589 (100.0%) | Explore: 175910/175911 (100.0%)
T=7668648.59 | W=100.4um | Current HPWL=5355904.82 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 439/1500 (29.3%) | Refine: 421021/421021 (100.0%) | Explore: 180478/180479 (100.0%)
T=6373225.44 | W=100.4um | Current HPWL=5365182.81 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 407/1500 (27.1%) | Refine: 431549/431549 (100.0%) | Explore: 184950/184951 (100.0%)
T=5296631.09 | W=100.4um | Current HPWL=5385291.97 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 436/1500 (29.1%) | Refine: 442033/442033 (100.0%) | Explore: 189466/189467 (100.0%)
