
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 1256322.32 um
Initial Temperature: 12563223200.00
Cooling Rate (alpha): 0.975
Moves per Temperature: 1000
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=12563223200.00 | W=501.8um | Current HPWL=1695068.03 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 27/1000 (2.7%) | Refine: 687/687 (100.0%) | Explore: 313/313 (100.0%)
T=9753202303.59 | W=410.0um | Current HPWL=3528637.22 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 202/1000 (20.2%) | Refine: 7655/7655 (100.0%) | Explore: 3345/3345 (100.0%)
T=7571699846.48 | W=335.0um | Current HPWL=4067934.09 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 231/1000 (23.1%) | Refine: 14612/14612 (100.0%) | Explore: 6388/6388 (100.0%)
T=5878134871.06 | W=273.7um | Current HPWL=4312570.52 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 242/1000 (24.2%) | Refine: 21584/21584 (100.0%) | Explore: 9416/9416 (100.0%)
T=4563370215.79 | W=223.7um | Current HPWL=4439172.64 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 271/1000 (27.1%) | Refine: 28567/28567 (100.0%) | Explore: 12433/12433 (100.0%)
T=3542679469.45 | W=182.7um | Current HPWL=4484667.14 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 283/1000 (28.3%) | Refine: 35556/35556 (100.0%) | Explore: 15444/15444 (100.0%)
T=2750287009.34 | W=149.3um | Current HPWL=4568234.92 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 267/1000 (26.7%) | Refine: 42459/42459 (100.0%) | Explore: 18541/18541 (100.0%)
T=2135129271.20 | W=122.0um | Current HPWL=4576850.25 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 270/1000 (27.0%) | Refine: 49425/49425 (100.0%) | Explore: 21575/21575 (100.0%)
T=1657564097.59 | W=100.4um | Current HPWL=4570041.36 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 306/1000 (30.6%) | Refine: 56352/56352 (100.0%) | Explore: 24648/24648 (100.0%)
T=1286816107.43 | W=100.4um | Current HPWL=4588253.93 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 263/1000 (26.3%) | Refine: 63305/63305 (100.0%) | Explore: 27695/27695 (100.0%)
T=998993460.79 | W=100.4um | Current HPWL=4612782.39 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 261/1000 (26.1%) | Refine: 70360/70360 (100.0%) | Explore: 30640/30640 (100.0%)
