alpha,moves_per_temp,p_refine,p_explore,hpwl,runtime,success
0.8,50,0.5,0.5,362542.07999999984,1088.3728621006012,True
0.8,50,0.7,0.30000000000000004,362542.07999999984,1083.2105951309204,True
